name,example_input,desp,tag,path
base," <head>
  <base href=""https://www.w3schools.com/"" target=""_blank"">
</head>

<body>
<img src=""images/stickman.gif"" width=""24"" height=""39"" alt=""Stickman"">
<a href=""tags/tag_base.asp"">HTML base Tag</a>
</body> ","The <base> tag specifies the base URL and/or target for all relative URLs in a document.

The <base> tag must have either an href or a target attribute present, or both.

There can only be one single <base> element in a document, and it must be inside the <head> element.",<base>,C:/Users/HP/Documents/python/Scripts/app/images/base.png
bdi," <ul>
  <li>User <bdi>hrefs</bdi>: 60 points</li>
  <li>User <bdi>jdoe</bdi>: 80 points</li>
  <li>User <bdi>????</bdi>: 90 points</li>
</ul> ","BDI stands for Bi-Directional Isolation.

The <bdi> tag isolates a part of text that might be formatted in a different direction from other text outside it.

This element is useful when embedding user-generated content with an unknown text direction.",<bdi>,C:/Users/HP/Documents/python/Scripts/app/images/bdi.png
bdo," <bdo dir=""rtl"">
This text will go right-to-left.
</bdo> ","BDO stands for Bi-Directional Override.

The <bdo> tag is used to override the current text direction.",<bdo>,C:/Users/HP/Documents/python/Scripts/app/images/bdo.png
blockquote," <blockquote cite=""http://www.worldwildlife.org/who/index.html"">
For 50 years, WWF has been protecting the future of nature. The world's leading conservation organization, WWF works in 100 countries and is supported by 1.2 million members in the United States and close to 5 million globally.
</blockquote> ","The <blockquote> tag specifies a section that is quoted from another source.

Browsers usually indent <blockquote> elements (look at example below to see how to remove the indentation).",<blockquote>,C:/Users/HP/Documents/python/Scripts/app/images/blockquote.png
body," <html>
<head>
  <title>Title of the document</title>
</head>

<body>
  <h1>This is a heading</h1>
  <p>This is a paragraph.</p>
</body>

</html> ","The <body> tag defines the document's body.

The <body> element contains all the contents of an HTML document, such as headings, paragraphs, images, hyperlinks, tables, lists, etc.

Note: There can only be one <body> element in an HTML document.",<body>,C:/Users/HP/Documents/python/Scripts/app/images/body.png
br,"<p>To force<br> line breaks<br> in a text,<br> use the br<br> element.</p>","The <br> tag inserts a single line break.

 The <br> tag is useful for writing addresses or poems.

The <br> tag is an empty tag which means that it has no end tag.",<br>,C:/Users/HP/Documents/python/Scripts/app/images/br.png
button," <button type=""button"">Click Me!</button> ","The <button> tag defines a clickable button.

Inside a <button> element you can put text (and tags like <i>, <strong>, <br>, <img>, etc.). This is not possible with a button created with the <input> element!",<button>,C:/Users/HP/Documents/python/Scripts/app/images/button.png
canvas ," <canvas id=""myCanvas"">
Your browser does not support the canvas tag.
</canvas>

<script>
var canvas = document.getElementById(""myCanvas"");
var ctx = canvas.getContext(""2d"");
ctx.fillStyle = ""#FF0000"";
ctx.fillRect(0, 0, 80, 80);
</script> ","The <canvas> tag is used to draw graphics, on the fly, via scripting (usually JavaScript).

The <canvas> tag is transparent, and is only a container for graphics, you must use a script to actually draw the graphics.

Any text inside the <canvas> element will be displayed in browsers with JavaScript disabled and in browsers that do not support <canvas>.",<canvas >,C:/Users/HP/Documents/python/Scripts/app/images/canvas .png
caption," <table>
  <caption>Monthly savings</caption>
  <tr>
    <th>Month</th>
    <th>Savings</th>
  </tr>
  <tr>
    <td>January</td>
    <td>$100</td>
  </tr>
</table> ","The <caption> tag defines a table caption.

The <caption> tag must be inserted immediately after the <table> tag.

Tip: By default, a table caption will be center-aligned above a table. However, the CSS properties text-align and caption-side can be used to align and place the caption.",<caption>,C:/Users/HP/Documents/python/Scripts/app/images/caption.png
center," <html>
<head>
<style>
h1 {text-align: center;}
p {text-align: center;}
div {text-align: center;}
</style>
</head>
<body>

<h1>This is a heading</h1>
<p>This is a paragraph.</p>
<div>This is a div.</div>

</body>
</html> ",<center> tag aligns text in the center of the page,<center>,C:/Users/HP/Documents/python/Scripts/app/images/center.png
cite, <p><cite>The Scream</cite> by Edward Munch. Painted in 1893.</p> ,"The <cite> tag defines the title of a creative work (e.g. a book, a poem, a song, a movie, a painting, a sculpture, etc.).

Note: A person's name is not the title of a work.

The text in the <cite> element usually renders in italic.",<cite>,C:/Users/HP/Documents/python/Scripts/app/images/cite.png
code," <p>The HTML <code>button</code> tag defines a clickable button.</p>

<p>The CSS <code>background-color</code> property defines the background color of an element.</p> ",The <code> tag is used to define a piece of computer code. The content inside is displayed in the browser's default monospace font. ,<code>,C:/Users/HP/Documents/python/Scripts/app/images/code.png
col," <table>
  <colgroup>
    <col span=""2"" style=""background-color:red"">
    <col style=""background-color:yellow"">
  </colgroup>
  <tr>
    <th>ISBN</th>
    <th>Title</th>
    <th>Price</th>
  </tr>
  <tr>
    <td>3476896</td>
    <td>My first HTML</td>
    <td>$53</td>
  </tr>
</table> ","The <col> tag specifies column properties for each column within a <colgroup> element.

The <col> tag is useful for applying styles to entire columns, instead of repeating the styles for each cell, for each row.",<col>,C:/Users/HP/Documents/python/Scripts/app/images/col.png
data," <ul>
  <li><data value=""21053"">Cherry Tomato</data></li>
  <li><data value=""21054"">Beef Tomato</data></li>
  <li><data value=""21055"">Snack Tomato</data></li>
</ul> ","The <data> tag is used to add a machine-readable translation of a given content.

This element provides both a machine-readable value for data processors, and a human-readable value for rendering in a browser.",<data>,C:/Users/HP/Documents/python/Scripts/app/images/data.png
datalist," <label for=""browser"">Choose your browser from the list:</label>
<input list=""browsers"" name=""browser"" id=""browser"">

<datalist id=""browsers"">
  <option value=""Edge"">
  <option value=""Firefox"">
  <option value=""Chrome"">
  <option value=""Opera"">
  <option value=""Safari"">
</datalist> ","The <datalist> tag specifies a list of pre-defined options for an <input> element.

The <datalist> tag is used to provide an ""autocomplete"" feature for <input> elements. Users will see a drop-down list of pre-defined options as they input data.

The <datalist> element's id attribute must be equal to the <input> element's list attribute (this binds them together).",<datalist>,C:/Users/HP/Documents/python/Scripts/app/images/datalist.png
dd," <dl>
  <dt>Coffee</dt>
  <dd>Black hot drink</dd>
  <dt>Milk</dt>
  <dd>White cold drink</dd>
</dl> ","The <dd> tag is used to describe a term/name in a description list.

The <dd> tag is used in conjunction with <dl> (defines a description list) and <dt> (defines terms/names).

Inside a <dd> tag you can put paragraphs, line breaks, images, links, lists, etc.",<dd>,C:/Users/HP/Documents/python/Scripts/app/images/dd.png
del, <p>My favorite color is <del>blue</del> <ins>red</ins>!</p> ,The <del> tag defines text that has been deleted from a document. Browsers will usually strike a line through deleted text.,<del>,C:/Users/HP/Documents/python/Scripts/app/images/del.png
details," <details>
  <summary>Epcot Center</summary>
  <p>Epcot is a theme park at Walt Disney World Resort featuring exciting attractions, international pavilions, award-winning fireworks and seasonal special events.</p>
</details> ","The <details> tag specifies additional details that the user can open and close on demand.

The <details> tag is often used to create an interactive widget that the user can open and close. By default, the widget is closed. When open, it expands, and displays the content within.

Any sort of content can be put inside the <details> tag. ",<details>,C:/Users/HP/Documents/python/Scripts/app/images/details.png
dfn, <p><dfn>HTML</dfn> is the standard markup language for creating web pages.</p> ,"The <dfn> tag stands for the ""definition element"", and it specifies a term that is going to be defined within the content.

The nearest parent of the <dfn> tag must also contain the definition/explanation for the term.",<dfn>,C:/Users/HP/Documents/python/Scripts/app/images/dfn.png
dialog, <dialog open>This is an open dialog window</dialog> ,"The <dialog> tag defines a dialog box or subwindow.

The <dialog> element makes it easy to create popup dialogs and modals on a web page.",<dialog>,C:/Users/HP/Documents/python/Scripts/app/images/dialog.png
div," <html>
<head>
<style>
.myDiv {
  border: 5px outset red;
  background-color: lightblue;
  text-align: center;
}
</style>
</head>
<body>

<div class=""myDiv"">
  <h2>This is a heading in a div element</h2>
  <p>This is some text in a div element.</p>
</div>

</body>
</html> ","The <div> tag defines a division or a section in an HTML document.

The <div> tag is used as a container for HTML elements - which is then styled with CSS or manipulated with JavaScript.

The <div> tag is easily styled by using the class or id attribute.

Any sort of content can be put inside the <div> tag! 

Note: By default, browsers always place a line break before and after the <div> element.",<div>,C:/Users/HP/Documents/python/Scripts/app/images/div.png
dl," <dl>
  <dt>Coffee</dt>
  <dd>Black hot drink</dd>
  <dt>Milk</dt>
  <dd>White cold drink</dd>
</dl> ","The <dl> tag defines a description list.

The <dl> tag is used in conjunction with <dt> (defines terms/names) and <dd> (describes each term/name).",<dl>,C:/Users/HP/Documents/python/Scripts/app/images/dl.png
dt," <dl>
  <dt>Coffee</dt>
  <dd>Black hot drink</dd>
  <dt>Milk</dt>
  <dd>White cold drink</dd>
</dl> ","The <dt> tag defines a term/name in a description list.

The <dt> tag is used in conjunction with <dl> (defines a description list) and <dd> (describes each term/name).",<dt>,C:/Users/HP/Documents/python/Scripts/app/images/dt.png
em,"<p>You <em>have</em> to hurry up!</p>

<p>We <em>cannot</em> live like this.</p>","The <em> tag is used to define emphasized text. The content inside is typically displayed in italic.

A screen reader will pronounce the words in <em> with an emphasis, using verbal stress.",<em>,C:/Users/HP/Documents/python/Scripts/app/images/em.png
fieldset,,"The <fieldset> tag is used to group related elements in a form.

The <fieldset> tag draws a box around the related elements.",<fieldset>,C:/Users/HP/Documents/python/Scripts/app/images/fieldset.png
footer," <footer>
  <p>Author: Hege Refsnes</p>
  <p><a href=""mailto:hege@example.com"">hege@example.com</a></p>
</footer> ","The <footer> tag defines a footer for a document or section.

A <footer> element typically contains:

    authorship information
    copyright information
    contact information
    sitemap
    back to top links
    related documents

You can have several <footer> elements in one document.",<footer>,C:/Users/HP/Documents/python/Scripts/app/images/footer.png
head," <!DOCTYPE html>
<html lang=""en"">
<head>
  <title>Title of the document</title>
</head>
<body>

<h1>This is a heading</h1>
<p>This is a paragraph.</p>

</body>
</html> ","The <head> element is a container for metadata (data about data) and is placed between the <html> tag and the <body> tag.

Metadata is data about the HTML document. Metadata is not displayed.

Metadata typically define the document title, character set, styles, scripts, and other meta information.

The following elements can go inside the <head> element:

    <title> (required in every HTML document)
    <style>
    <base>
    <link>
    <meta>
    <script>
    <noscript>
",<head>,C:/Users/HP/Documents/python/Scripts/app/images/head.png
header," <article>
  <header>
    <h1>A heading here</h1>
    <p>Posted by John Doe</p>
    <p>Some additional information here</p>
  </header>
  <p>Lorem Ipsum dolor set amet....</p>
</article> ","The <header> element represents a container for introductory content or a set of navigational links.

A <header> element typically contains:

    one or more heading elements (<h1> - <h6>)
    logo or icon
    authorship information

Note: You can have several <header> elements in one HTML document. However, <header> cannot be placed within a <footer>, <address> or another <header> element.",<header>,C:/Users/HP/Documents/python/Scripts/app/images/header.png
hr," <h1>The Main Languages of the Web</h1>

<p>HTML is the standard markup language for creating Web pages. HTML describes the structure of a Web page, and consists of a series of elements. HTML elements tell the browser how to display the content.</p>

<hr>

<p>CSS is a language that describes how HTML elements are to be displayed on screen, paper, or in other media. CSS saves a lot of work, because it can control the layout of multiple web pages all at once.</p>

<hr>

<p>JavaScript is the programming language of HTML and the Web. JavaScript can change HTML content and attribute values. JavaScript can change CSS. JavaScript can hide and show HTML elements, and more.</p> ","The <hr> tag defines a thematic break in an HTML page (e.g. a shift of topic).

The <hr> element is most often displayed as a horizontal rule that is used to separate content (or define a change) in an HTML page.",<hr>,C:/Users/HP/Documents/python/Scripts/app/images/hr.png
html," <!DOCTYPE html>
<html lang=""en"">
<head>
  <title>Title of the document</title>
</head>
<body>

<h1>This is a heading</h1>
<p>This is a paragraph.</p>

</body>
</html> ","The <html> tag represents the root of an HTML document.

The <html> tag is the container for all other HTML elements (except for the <!DOCTYPE> tag).

Note: You should always include the lang attribute inside the <html> tag, to declare the language of the Web page. This is meant to assist search engines and browsers.",<html>,C:/Users/HP/Documents/python/Scripts/app/images/html.png
i," <p><i>Lorem ipsum</i> is the most popular filler text in history.</p>

<p>The <i>RMS Titanic</i>, a luxury steamship, sank on April 15, 1912 after striking an iceberg.</p> ","The <i> tag defines a part of text in an alternate voice or mood. The content inside is typically displayed in italic.

The <i> tag is often used to indicate a technical term, a phrase from another language, a thought, a ship name, etc.

Use the <i> element only when there is not a more appropriate semantic element, such as:

    <em> (emphasized text)
    <strong> (important text)
    <mark> (marked/highlighted text)
    <cite> (the title of a work)
    <dfn> (a definition term)
",<i>,C:/Users/HP/Documents/python/Scripts/app/images/i.png
iframe," <iframe src=""https://www.w3schools.com"" title=""W3Schools Free Online Web Tutorials""></iframe> ","The <iframe> tag specifies an inline frame.

An inline frame is used to embed another document within the current HTML document.

Tip: Use CSS to style the <iframe> (see example below). 

Tip: It is a good practice to always include a title attribute for the <iframe>. This is used by screen readers to read out what the content of the <iframe> is.
",<iframe>,C:/Users/HP/Documents/python/Scripts/app/images/iframe.png
ins, <p>My favorite color is <del>blue</del> <ins>red</ins>!</p> ,"The <ins> tag defines a text that has been inserted into a document. Browsers will usually underline inserted text.

Tip: Also look at the <del> tag to markup deleted text.",<ins>,C:/Users/HP/Documents/python/Scripts/app/images/ins.png
kbd," <p>Press <kbd>Ctrl</kbd> + <kbd>C</kbd> to copy text (Windows).</p>

<p>Press <kbd>Cmd</kbd> + <kbd>C</kbd> to copy text (Mac OS).</p> ",The <kbd> tag is used to define keyboard input. The content inside is displayed in the browser's default monospace font.,<kbd>,C:/Users/HP/Documents/python/Scripts/app/images/kbd.png
li," <ol>
  <li>Coffee</li>
  <li>Tea</li>
  <li>Milk</li>
</ol>

<ul>
  <li>Coffee</li>
  <li>Tea</li>
  <li>Milk</li>
</ul> ","The <li> tag defines a list item.

The <li> tag is used inside ordered lists(<ol>), unordered lists (<ul>), and in menu lists (<menu>).

In <ul> and <menu>, the list items will usually be displayed with bullet points.

In <ol>, the list items will usually be displayed with numbers or letters.

Tip: Use CSS to style lists.",<li>,C:/Users/HP/Documents/python/Scripts/app/images/li.png
main," <main>
  <h1>Most Popular Browsers</h1>
  <p>Chrome, Firefox, and Edge are the most used browsers today.</p>

  <article>
    <h2>Google Chrome</h2>
    <p>Google Chrome is a web browser developed by Google, released in 2008. Chrome is the world's most popular web browser today!</p>
  </article>

  <article>
    <h2>Mozilla Firefox</h2>
    <p>Mozilla Firefox is an open-source web browser developed by Mozilla. Firefox has been the second most popular web browser since January, 2018.</p>
  </article>

  <article>
    <h2>Microsoft Edge</h2>
    <p>Microsoft Edge is a web browser developed by Microsoft, released in 2015. Microsoft Edge replaced Internet Explorer.</p>
  </article>
</main> ","The <main> tag specifies the main content of a document.

The content inside the <main> element should be unique to the document. It should not contain any content that is repeated across documents such as sidebars, navigation links, copyright information, site logos, and search forms.

Note: There must not be more than one <main> element in a document. The <main> element must NOT be a descendant of an <article>, <aside>, <footer>, <header>, or <nav> element.",<main>,C:/Users/HP/Documents/python/Scripts/app/images/main.png
mark, <p>Do not forget to buy <mark>milk</mark> today.</p> ,The <mark> tag defines text that should be marked or highlighted.,<mark>,C:/Users/HP/Documents/python/Scripts/app/images/mark.png
meta," <head>
  <meta charset=""UTF-8"">
  <meta name=""description"" content=""Free Web tutorials"">
  <meta name=""keywords"" content=""HTML, CSS, JavaScript"">
  <meta name=""author"" content=""John Doe"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
</head> ","The <meta> tag defines metadata about an HTML document. Metadata is data (information) about data.

<meta> tags always go inside the <head> element, and are typically used to specify character set, page description, keywords, author of the document, and viewport settings.

Metadata will not be displayed on the page, but is machine parsable.

Metadata is used by browsers (how to display content or reload page), search engines (keywords), and other web services.

There is a method to let web designers take control over the viewport (the user's visible area of a web page), through the <meta> tag (See ""Setting The Viewport"" example below).",<meta>,C:/Users/HP/Documents/python/Scripts/app/images/meta.png
meter," <label for=""disk_c"">Disk usage C:</label>
<meter id=""disk_c"" value=""2"" min=""0"" max=""10"">2 out of 10</meter><br>

<label for=""disk_d"">Disk usage D:</label>
<meter id=""disk_d"" value=""0.6"">60%</meter> ","The <meter> tag defines a scalar measurement within a known range, or a fractional value. This is also known as a gauge.

Examples: Disk usage, the relevance of a query result, etc.

Note: The <meter> tag should not be used to indicate progress (as in a progress bar). For progress bars, use the <progress> tag.",<meter>,C:/Users/HP/Documents/python/Scripts/app/images/meter.png
object,,"The <object> tag defines a container for an external resource.

The external resource can be a web page, a picture, a media player, or a plug-in application.",<object>,C:/Users/HP/Documents/python/Scripts/app/images/object.png
ol," <ol>
  <li>Coffee</li>
  <li>Tea</li>
  <li>Milk</li>
</ol>

<ol start=""50"">
  <li>Coffee</li>
  <li>Tea</li>
  <li>Milk</li>
</ol> ","The <ol> tag defines an ordered list. An ordered list can be numerical or alphabetical.

The <li> tag is used to define each list item.

Tip: Use CSS to style lists.

Tip: For unordered list, use the <ul> tag. ",<ol>,C:/Users/HP/Documents/python/Scripts/app/images/ol.png
option," <label for=""cars"">Choose a car:</label>

<select id=""cars"">
  <option value=""volvo"">Volvo</option>
  <option value=""saab"">Saab</option>
  <option value=""opel"">Opel</option>
  <option value=""audi"">Audi</option>
</select> ","The <option> tag defines an option in a select list.

<option> elements go inside a <select>, <optgroup>, or <datalist> element.

Note: The <option> tag can be used without any attributes, but you usually need the value attribute, which indicates what is sent to the server on form submission.

Tip: If you have a long list of options, you can group related options within the <optgroup> tag. ",<option>,C:/Users/HP/Documents/python/Scripts/app/images/option.png
p, <p>This is some text in a paragraph.</p> ,"The <p> tag defines a paragraph.

Browsers automatically add a single blank line before and after each <p> element.

Tip: Use CSS to style paragraphs.",<p>,C:/Users/HP/Documents/python/Scripts/app/images/p.png
param," <object data=""horse.wav"">
  <param name=""autoplay"" value=""true"">
</object> ","The <param> tag is used to define parameters for an <object> element.
",<param>,C:/Users/HP/Documents/python/Scripts/app/images/param.png
picture," <picture>
  <source media=""(min-width:650px)"" srcset=""img.jpg"">
  <source media=""(min-width:465px)"" srcset=""img.jpg"">
  <img src=""img.jpg"" alt=""Flowers"" style=""width:auto;"">
</picture> ","The <picture> tag gives web developers more flexibility in specifying image resources.

The most common use of the <picture> element will be for art direction in responsive designs. Instead of having one image that is scaled up or down based on the viewport width, multiple images can be designed to more nicely fill the browser viewport.

The <picture> element contains two tags: one or more <source> tags and one <img> tag.

The browser will look for the first <source> element where the media query matches the current viewport width, and then it will display the proper image (specified in the srcset attribute). The <img> element is required as the last child of the <picture> element, as a fallback option if none of the source tags matches.

Tip: The <picture> element works ""similar"" to <video> and <audio>. You set up different sources, and the first source that fits the preferences is the one being used.",<picture>,C:/Users/HP/Documents/python/Scripts/app/images/picture.png
pre," <pre>
Text in a pre element
is displayed in a fixed-width
font, and it preserves
both      spaces and
line breaks
</pre> ","The <pre> tag defines preformatted text.

Text in a <pre> element is displayed in a fixed-width font, and the text preserves both spaces and line breaks. The text will be displayed exactly as written in the HTML source code.",<pre>,C:/Users/HP/Documents/python/Scripts/app/images/pre.png
progress," <label for=""file"">Downloading progress:</label>
<progress id=""file"" value=""32"" max=""100""> 32% </progress> ","The <progress> tag represents the completion progress of a task.

Tip: Always add the <label> tag for best accessibility practices!",<progress>,C:/Users/HP/Documents/python/Scripts/app/images/progress.png
samp,"<p>Message from my computer:</p>

<p><samp>File not found.<br>Press F1 to continue</samp></p>",The <samp> tag is used to define sample output from a computer program. The content inside is displayed in the browser's default monospace font.,<samp>,C:/Users/HP/Documents/python/Scripts/app/images/samp.png
script," <script>
document.getElementById(""demo"").innerHTML = ""Hello JavaScript!"";
</script> ","The <script> tag is used to embed a client-side script (JavaScript).

The <script> element either contains scripting statements, or it points to an external script file through the src attribute.

Common uses for JavaScript are image manipulation, form validation, and dynamic changes of content.",<script>,C:/Users/HP/Documents/python/Scripts/app/images/script.png
section," <section>
<h2>WWF History</h2>
<p>The World Wide Fund for Nature (WWF) is an international organization working on issues regarding the conservation, research and restoration of the environment, formerly named the World Wildlife Fund. WWF was founded in 1961.</p>
</section>

<section>
<h2>WWF's Symbol</h2>
<p>The Panda has become the symbol of WWF. The well-known panda logo of WWF originated from a panda named Chi Chi that was transferred from the Beijing Zoo to the London Zoo in the same year of the establishment of WWF.</p>
</section> ",The <section> tag defines a section in a document.,<section>,C:/Users/HP/Documents/python/Scripts/app/images/section.png
select," <label for=""cars"">Choose a car:</label>

<select name=""cars"" id=""cars"">
  <option value=""volvo"">Volvo</option>
  <option value=""saab"">Saab</option>
  <option value=""mercedes"">Mercedes</option>
  <option value=""audi"">Audi</option>
</select> ","The <select> element is used to create a drop-down list.

The <select> element is most often used in a form, to collect user input.

The name attribute is needed to reference the form data after the form is submitted (if you omit the name attribute, no data from the drop-down list will be submitted).

The id attribute is needed to associate the drop-down list with a label.

The <option> tags inside the <select> element define the available options in the drop-down list.

Tip: Always add the <label> tag for best accessibility practices!",<select>,C:/Users/HP/Documents/python/Scripts/app/images/select.png
span," <p>My mother has <span style=""color:blue"">blue</span> eyes.</p> ","The <span> tag is an inline container used to mark up a part of a text, or a part of a document.

The <span> tag is easily styled by CSS or manipulated with JavaScript using the class or id attribute.

The <span> tag is much like the <div> element, but <div> is a block-level element and <span> is an inline element.",<span>,C:/Users/HP/Documents/python/Scripts/app/images/span.png
strong,<strong>This text is important!</strong>,"The <strong> tag is used to define text with strong importance. The content inside is typically displayed in bold.

Tip: Use the <b> tag to specify bold text without any extra importance!",<strong>,C:/Users/HP/Documents/python/Scripts/app/images/strong.png
style," <html>
<head>
<style>
  h1 {color:red;}
  p {color:blue;}
</style>
</head>
<body>

<h1>A heading</h1>
<p>A paragraph.</p>

</body>
</html> ","The <style> tag is used to define style information (CSS) for a document.

Inside the <style> element you specify how HTML elements should render in a browser.",<style>,C:/Users/HP/Documents/python/Scripts/app/images/style.png
sub,<p>This text contains <sub>subscript</sub> text.</p>,"The <sub> tag defines subscript text. Subscript text appears half a character below the normal line, and is sometimes rendered in a smaller font. Subscript text can be used for chemical formulas, like H2O.

Tip: Use the <sup> tag to define superscripted text. ",<sub>,C:/Users/HP/Documents/python/Scripts/app/images/sub.png
summary," <details>
  <summary>Epcot Center</summary>
  <p>Epcot is a theme park at Walt Disney World Resort featuring exciting attractions, international pavilions, award-winning fireworks and seasonal special events.</p>
</details> ","The <summary> tag defines a visible heading for the <details> element. The heading can be clicked to view/hide the details.

Note: The <summary> element should be the first child element of the <details> element.",<summary>,C:/Users/HP/Documents/python/Scripts/app/images/summary.png
sup, <p>This text contains <sup>superscript</sup> text.</p> ,"The <sup> tag defines superscript text. Superscript text appears half a character above the normal line, and is sometimes rendered in a smaller font. Superscript text can be used for footnotes, like WWW[1].",<sup>,C:/Users/HP/Documents/python/Scripts/app/images/sup.png
table," <table>
  <tr>
    <th>Month</th>
    <th>Savings</th>
  </tr>
  <tr>
    <td>January</td>
    <td>$100</td>
  </tr>
</table> ","The <table> tag defines an HTML table.

An HTML table consists of one <table> element and one or more <tr>, <th>, and <td> elements.

The <tr> element defines a table row, the <th> element defines a table header, and the <td> element defines a table cell.

",<table>,C:/Users/HP/Documents/python/Scripts/app/images/table.png
td," <table>
  <tr>
    <td>Cell A</td>
    <td>Cell B</td>
  </tr>
  <tr>
    <td>Cell C</td>
    <td>Cell D</td>
  </tr>
</table> ","The <td> tag defines a standard data cell in an HTML table.

An HTML table has two kinds of cells:

    Header cells - contains header information (created with the <th> element)
    Data cells - contains data (created with the <td> element)

The text in <td> elements are regular and left-aligned by default.

The text in <th> elements are bold and centered by default. ",<td>,C:/Users/HP/Documents/python/Scripts/app/images/td.png
th," <table>
  <tr>
    <th>Month</th>
    <th>Savings</th>
  </tr>
  <tr>
    <td>January</td>
    <td>$100</td>
  </tr>
  <tr>
    <td>February</td>
    <td>$80</td>
  </tr>
</table> ","The <th> tag defines a header cell in an HTML table.

An HTML table has two kinds of cells:

    Header cells - contains header information (created with the <th> element)
    Data cells - contains data (created with the <td> element)

The text in <th> elements are bold and centered by default.

The text in <td> elements are regular and left-aligned by default.",<th>,C:/Users/HP/Documents/python/Scripts/app/images/th.png
