name,Unnamed: 0,desp,example_input,Syntax,example_output,Parameters,param_description
popitem(),15.0,"The popitem() method removes the item that was last inserted into the dictionary. In versions before 3.7, the popitem() method removes a random item.","car = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}

car.popitem()

print(car) ",dictionary.popitem() ,"{'brand': 'Ford', 'model': 'Mustang'} ",,
update(),16.0,"The update() method inserts the specified items to the dictionary.

The specified items can be a dictionary, or an iterable object.","car = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}

car.update({""color"": ""White""})

print(car) ",dictionary.update(iterable) ,"{'brand': 'Ford', 'model': 'Mustang', 'year': 1964, 'color': 'White'} ",iterable,"A dictionary or an iterable object with key value pairs, that will be inserted to the dictionary"
values(),17.0,"The values() method returns a view object. The view object contains the values of the dictionary, as a list.","car = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}

x = car.values()

print(x) ",dictionary.values() ,"dict_values(['Ford', 'Mustang', 1964]) ",,
clear(),18.0,The clear() method removes all the elements from a dictionary.,"car = {
  ""brand"": ""Ford"",
  ""model"": ""Mustang"",
  ""year"": 1964
}

car.clear()

print(car) ",dictionary.clear(),{},,
dir(),19.0,"The dir() function returns all properties and methods of the specified object, without the values.

This function will return all the properties and methods, even built-in properties which are default for all object.","class Person:
  name = ""John""
  age = 36
  country = ""Norway""

print(dir(Person))",dir(object),"['__class__', '__delattr__', '__dict__', '__dir__', '__doc__', '__eq__', '__format__', '__ge__', '__getattribute__', '__gt__', '__hash__', '__init__', '__init_subclass__', '__le__', '__lt__', '__module__', '__ne__', '__new__', '__reduce__', '__reduce_ex__', '__repr__', '__setattr__', '__sizeof__', '__str__', '__subclasshook__', '__weakref__', 'age', 'country', 'name']",object,The object you want to see the valid attributes of
divmod(),20.0,The divmod() function returns a tuple containing the quotient  and the remainder when argument1 (divident) is divided by argument2 (divisor).,"x = divmod(5, 2)","divmod(divident, divisor) ","(2, 1)",divident/divisor,  A Number. The number you want to divide/A Number. The number you want to divide with
enumerate(),21.0,"The enumerate() function takes a collection (e.g. a tuple) and returns it as an enumerate object.

The enumerate() function adds a counter as the key of the enumerate object.","x = ('apple', 'banana', 'cherry')
y = enumerate(x)","enumerate(iterable, start) ","[(0, 'apple'), (1, 'banana'), (2, 'cherry')]
",iterable/start,An iterable object/A Number. Defining the start number of the enumerate object. Default 0
eval(),22.0,"The eval() function evaluates the specified expression, if the expression is a legal Python statement, it will be executed.","x = 'print(55)'
eval(x) ","eval(expression, globals, locals)",55,expression/globals/locals,"A String, that will be evaluated as Python code/Optional. A dictionary containing global parameters/Optional. A dictionary containing local parameters"
float(),23.0,The float() function converts the specified value into a floating point number.,x = float(3),float(value) ,3,value,A number or a string that can be converted into a floating point number
format(),24.0,The format() function formats a specified value into a specified format.,"x = format(0.5, '%')","format(value, format) ",50.00%,value /format,"A value of any format/The format you want to format the value into.
Legal values:
'<' - Left aligns the result (within the available space)
'>' - Right aligns the result (within the available space)
'^' - Center aligns the result (within the available space)
'=' - Places the sign to the left most position
'+' - Use a plus sign to indicate if the result is positive or negative
'-' - Use a minus sign for negative values only
' ' - Use a leading space for positive numbers
',' - Use a comma as a thousand separator
'_' - Use a underscore as a thousand separator
'b' - Binary format
'c' - Converts the value into the corresponding unicode character
'd' - Decimal format
'e' - Scientific format, with a lower case e
'E' - Scientific format, with an upper case E
'f' - Fix point number format
'F' - Fix point number format, upper case
'g' - General format
'G' - General format (using a upper case E for scientific notations)
'o' - Octal format
'x' - Hex format, lower case
'X' - Hex format, upper case
'n' - Number format
'%' - Percentage format "
getattr(),25.0,The getattr() function returns the value of the specified attribute from the specified object.,"class Person:
  name = ""John""
  age = 36
  country = ""Norway""

x = getattr(Person, 'age')","getattr(object, attribute, default)",36,object/attribute/default,Required. An object./  The name of the attribute you want to get the value from/  Optional. The value to return if the attribute does not exist
globals(),26.0,"The globals() function returns the global symbol table as a dictionary.

A symbol table contains necessary information about the current program","x = globals()
print(x)",globals(),,No parameters,
hex(),27.0,"The hex() function converts the specified number into a hexadecimal value.

The returned string always starts with the prefix 0x.",x = hex(255),hex(number),0xff ,number,  An Integer
input(),28.0,The input() function allows user input.,"print('Enter your name:')
x = input()
print('Hello, ' + x) ",input(prompt) ,"Enter your name: john Doe

Hello, john Doe",prompt,"A String, representing a default message before the input."
int(),29.0,The int() function converts the specified value into an integer number.,x = int(3.5),"int(value, base) ",3,value/base,  A number or a string that can be converted into an integer number/  A number representing the number format. Default value: 10
isinstance(),30.0,"The isinstance() function returns True if the specified object is of the specified type, otherwise False.

If the type parameter is a tuple, this function will return True if the object is one of the types in the tuple.","x = isinstance(5, int) ","isinstance(object, type)",TRUE,object/type,"Required. An object./  A type or a class, or a tuple of types and/or classes"
iter(),31.0,The iter() function returns an iterator object.,"x = iter([""apple"", ""banana"", ""cherry""])
print(next(x))
print(next(x))
print(next(x)) ","iter(object, sentinel) ","apple
banana
cherry ",object/sentinel,Required. An iterable object/Optional. If the object is a callable object the iteration will stop when the returned value is the same as the sentinel
len(),32.0,"The len() function returns the number of items in an object.

When the object is a string, the len() function returns the number of characters in the string.
","mylist = [""apple"", ""banana"", ""cherry""]
x = len(mylist) ",len(object) ,3,object,Required. An object. Must be a sequence or a collection
append(),33.0,The append() method appends an element to the end of the list.,"fruits = ['apple', 'banana', 'cherry']
fruits.append(""orange"") ",list.append(elmnt) ,"['apple', 'banana', 'cherry', 'orange']",elmnt,"Required. An element of any type (string, number, object etc.)"
clear,34.0,"The clear() method removes all the elements from a list.
","fruits = ['apple', 'banana', 'cherry', 'orange']

fruits.clear()",list.clear(),[],,
copy,35.0,The copy() method returns a copy of the specified list.,"fruits = ['apple', 'banana', 'cherry', 'orange']

x = fruits.copy()",list.copy() ,,,"['apple', 'banana', 'cherry']"
count,36.0,The count() method returns the number of elements with the specified value.,"fruits = ['apple', 'banana', 'cherry']

x = fruits.count(""cherry"")",list.count(value) ,1,value,"Required. Any type (string, number, list, tuple, etc.). The value to search for."
index,37.0,The index() method returns the position at the first occurrence of the specified value.,"fruits = ['apple', 'banana', 'cherry']

x = fruits.index(""cherry"") ",list.index(elmnt) ,2,elmnt,"Required. Any type (string, number, list, etc.). The element to search for"
insert,38.0,The insert() method inserts the specified value at the specified position.,"fruits = ['apple', 'banana', 'cherry']

fruits.insert(1, ""orange"") ","list.insert(pos, elmnt)","['apple', 'orange', 'banana', 'cherry'] ",pos/elmnt,"Required. A number specifying in which position to insert the value/  Required. An element of any type (string, number, object etc.)"
pop,39.0,The pop() method removes the element at the specified position.,"fruits = ['apple', 'banana', 'cherry']

fruits.pop(1) ",list.pop(pos),"['apple', 'cherry']",pos,"  Optional. A number specifying the position of the element you want to remove, default value is -1, which returns the last item"
remove,40.0,The remove() method removes the first occurrence of the element with the specified value.,"fruits = ['apple', 'banana', 'cherry']

fruits.remove(""banana"") ",list.remove(elmnt) ,"['apple', 'cherry']",elmnt,"Required. Any type (string, number, list etc.) The element you want to remove"
reverse,41.0,The reverse() method reverses the sorting order of the elements.,"fruits = ['apple', 'banana', 'cherry']

fruits.reverse() ",list.reverse(),"['cherry', 'banana', 'apple'] ",,
sort,42.0,"The sort() method sorts the list ascending by default.

You can also make a function to decide the sorting criteria(s).","cars = ['Ford', 'BMW', 'Volvo']

cars.sort() ","list.sort(reverse=True|False, key=myFunc) ","['BMW', 'Ford', 'Volvo']",reverse/key,Optional. reverse=True will sort the list descending. Default is reverse=False/Optional. A function to specify the sorting criteria(s)
list(),43.0,The list() function creates a list object.,"x = list(('apple', 'banana', 'cherry')) ",list(iterable) ,"['apple', banana', 'cherry'] ",iterable,"Required. A sequence, collection or an iterator object"
map(),44.0,The map() function executes a specified function for each item in a iterable. The item is sent to the function as a parameter.,"def myfunc(a):
  return len(a)

x = map(myfunc, ('apple', 'banana', 'cherry'))

print(x)

print(list(x))
","map(function, iterables) ","<map object at 0x056D44F0>
['5', '6', '6'] ",function/iterable,"  Required. The function to execute for each item/Required. A sequence, collection or an iterator object. You can send as many iterables as you like, just make sure the function has one parameter for each iterable."
max(),45.0,"The max() function returns the item with the highest value, or the item with the highest value in an iterable.

If the values are strings, an alphabetically comparison is done.","x = max(5, 10) ",max(iterable) ,10,iterable,"An iterable, with one or more items to compare"
memoryview(),46.0,The memoryview() function returns a memory view object from a specified object.,"x = memoryview(b""Hello"")

print(x)

#return the Unicode of the first character
print(x[0])

#return the Unicode of the second character
print(x[1])",memoryview(obj),"<memory at 0x03348FA0>
72
101 ",obj,A Bytes object or a Bytearray object.
min(),47.0,"The min() function returns the item with the lowest value, or the item with the lowest value in an iterable.

If the values are strings, an alphabetically comparison is done.","x = min(5, 10) ",min(iterable),5,iterable,"An iterable, with one or more items to compare"
object(),48.0,"The object() function returns an empty object.

You cannot add new properties or methods to this object.

This object is the base for all classes, it holds the built-in properties and methods which are default for all classes.","x = object() 
print(dir(x))",object(),"['__class__', '__delattr__', '__dir__', '__doc__', '__eq__', '__format__', '__ge__', '__getattribute__', '__gt__', '__hash__', '__init__', '__init_subclass__', '__le__', '__lt__', '__ne__', '__new__', '__reduce__', '__reduce_ex__', '__repr__', '__setattr__', '__sizeof__', '__str__', '__subclasshook__'] ",no parameters,
oct(),49.0,"The oct() function converts an integer into an octal string.

Octal strings in Python are prefixed with 0o.",x = oct(12) ,oct(int),0o14 ,int,An Integer Number
open(),50.0,"The open() function opens a file, and returns it as a file object.","f = open(""demofile.txt"", ""r"")
print(f.read()) ","open(file, mode) ",,file/mode,"  The path and name of the file/A string, define which mode you want to open the file in:

""r"" - Read - Default value. Opens a file for reading, error if the file does not exist

""a"" - Append - Opens a file for appending, creates the file if it does not exist

""w"" - Write - Opens a file for writing, creates the file if it does not exist

""x"" - Create - Creates the specified file, returns an error if the file exist

In addition you can specify if the file should be handled as binary or text mode

""t"" - Text - Default value. Text mode

""b"" - Binary - Binary mode (e.g. images)
"
pow(),51.0,"The pow() function returns the value of x to the power of y (xy).

If a third parameter is present, it returns x to the power of y, modulus z.","x = pow(4, 3, 5)  ","pow(x, y, z) ",4,"x

/y/z","A number, the base/A number, the exponent/Optional. A number, the modulus"
print(),52.0,"The print() function prints the specified message to the screen, or other standard output device.

The message can be a string, or any other object, the object will be converted into a string before written to the screen."," print(""Hello World"") ","print(object(s), sep=separator, end=end, file=file, flush=flush)",Hello World,object(s)/sep='separator'/end='end'/file/flush,"  Any object, and as many as you like. Will be converted to string before printed/  Optional. Specify how to separate the objects, if there is more than one. Default is ' '/Optional. Specify what to print at the end. Default is '\n' (line feed)/Optional. An object with a write method. Default is sys.stdout/Optional. A Boolean, specifying if the output is flushed (True) or buffered (False). Default is "
range(),53.0,"The range() function returns a sequence of numbers, starting from 0 by default, and increments by 1 (by default), and stops before a specified number.","x = range(6)
for n in x:
  print(n) ","range(start, stop, step) ","0
1
2
3
4
5 ",start/stop/step,Optional. An integer number specifying at which position to start. Default is 0/Required. An integer number specifying at which position to stop (not included)./Optional. An integer number specifying the incrementation. Default is 1
reversed(),54.0,The reversed() function returns a reversed iterator object.,"alph = [""a"", ""b"", ""c"", ""d""]
ralph = reversed(alph)
for x in ralph:
  print(x) ",reversed(sequence) ,"d
c
b
a ",sequence,  Required. Any iterable object
round(),55.0,"The round() function returns a floating point number that is a rounded version of the specified number, with the specified number of decimals.

The default number of decimals is 0, meaning that the function will return the nearest integer.","x = round(5.76543, 2)
print(x) ","round(number, digits) ",5.77,number/digits,Required. The number to be rounded/Optional. The number of decimals to use when rounding the number. Default is 0
slice(),56.0,"The slice() function returns a slice object.

A slice object is used to specify how to slice a sequence. You can specify where to start the slicing, and where to end. You can also specify the step, which allows you to e.g. slice only every other item.
","a = (""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g"", ""h"")
x = slice(2)
print(a[x])","slice(start, end, step) ","('a', 'b') ",start/end/step,Optional. An integer number specifying at which position to start the slicing. Default is 0/An integer number specifying at which position to end the slicing/Optional. An integer number specifying the step of the slicing. Default is 1
sorted(),57.0,"The sorted() function returns a sorted list of the specified iterable object.

You can specify ascending or descending order. Strings are sorted alphabetically, and numbers are sorted numerically.","a = (""b"", ""g"", ""a"", ""d"", ""f"", ""c"", ""h"", ""e"")
x = sorted(a)
print(x)","sorted(iterable, key=key, reverse=reverse)","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h'] ",iterable/key/reverse,"Required. The sequence to sort, list, dictionary, tuple etc./Optional. A Function to execute to decide the order. Default is None/Optional. A Boolean. False will sort ascending, True will sort descending. Default is False"
str(),58.0,The str() function converts the specified value into a string.,x = str(3.5),"str(object, encoding=encoding, errors=errors) ",,object/encoding/errors,  Any object. Specifies the object to convert into a string/The encoding of the object. Default is UTF-8/Specifies what to do if the decoding fails
casefold(),59.0,"The casefold() method returns a string where all the characters are lower case.

This method is similar to the lower() method, but the casefold() method is stronger, more aggressive, meaning that it will convert more characters into lower case, and will find more matches when comparing two strings and both are converted using the casefold() method.
","txt = ""Hello, And Welcome To My World!""

x = txt.casefold()

print(x) ",string.casefold() ,"hello, and welcome to my world! ",,
count(),60.0,The count() method returns the number of times a specified value appears in the string.,"txt = ""I love apples, apple are my favorite fruit""

x = txt.count(""apple"")

print(x) ","string.count(value, start, end) ",2,value/start/end,Required. A String. The string to value to search for/Optional. An Integer. The position to start the search. Default is 0/Optional. An Integer. The position to end the search. Default is the end of the string
encode(),61.0,"The encode() method encodes the string, using the specified encoding. If no encoding is specified, UTF-8 will be used.","txt = ""My name is StÃ¥le""

x = txt.encode()

print(x) ","string.encode(encoding=encoding, errors=errors) ",b'My name is St\xc3\xe5le',encoding/errors,"Optional. A String specifying the encoding to use. Default is UTF-8/Optional. A String specifying the error method. Legal values are:
'backslashreplace' - uses a backslash instead of the character that could not be encoded
'ignore' - ignores the characters that cannot be encoded
'namereplace' - replaces the character with a text explaining the character
'strict' - Default, raises an error on failure
'replace' - replaces the character with a questionmark
'xmlcharrefreplace' - replaces the character with an xml character"
endswith(),62.0,"The endswith() method returns True if the string ends with the specified value, otherwise False.
","txt = ""Hello, welcome to my world.""

x = txt.endswith(""."")

print(x) ","string.endswith(value, start, end) ",TRUE,value/start/end,Required. The value to check if the string ends with/Optional. An Integer specifying at which position to start the search/Optional. An Integer specifying at which position to end the search
find(),63.0,"The find() method finds the first occurrence of the specified value.

The find() method returns -1 if the value is not found.

The find() method is almost the same as the index() method, the only difference is that the index() method raises an exception if the value is not found.","txt = ""Hello, welcome to my world.""

x = txt.find(""welcome"")

print(x) ","string.find(value, start, end)",7,value/start/end,Required. The value to search for/Optional. Where to start the search. Default is 0/Optional. Where to end the search. Default is to the end of the string
format(),64.0,"The format() method formats the specified value(s) and insert them inside the string's placeholder.

The placeholder is defined using curly brackets: {}. Read more about the placeholders in the Placeholder section below.

The format() method returns the formatted string.
","txt = ""For only {price:.2f} dollars!""
print(txt.format(price = 49)) ","string.format(value1, value2...) ",For only 49.00 dollars! ,"value1, value2","Required. One or more values that should be formatted and inserted in the string. The values can be A number specifying the position of the element you want to remove.

The values are either a list of values separated by commas, a key=value list, or a combination of both.

The values can be of any data type."
index(),65.0,"The index() method finds the first occurrence of the specified value.

The index() method raises an exception if the value is not found.

The index() method is almost the same as the find() method, the only difference is that the find() method returns -1 if the value is not found.","txt = ""Hello, welcome to my world.""

x = txt.index(""welcome"")

print(x) ","string.index(value, start, end) ",7,value/start/end,Required. The value to search for/Optional. Where to start the search. Default is 0/Optional. Where to end the search. Default is to the end of the string
isalpha(),66.0,"The isalpha() method returns True if all the characters are alphabet letters (a-z).

Example of characters that are not alphabet letters: (space)!#%&? etc.","txt = ""CompanyX""

x = txt.isalpha()

print(x)",string.isalpha() ,TRUE,,
isdigit(),67.0,"The isdigit() method returns True if all the characters are digits, otherwise False.

Exponents, like Â², are also considered to be a digit.","txt = ""50800""

x = txt.isdigit()

print(x) ",string.isdigit(),TRUE ,,
isspace(),68.0,"The isspace() method returns True if all the characters in a string are whitespaces, otherwise False.","txt = ""   ""

x = txt.isspace()

print(x) ",string.isspace() ,TRUE ,,
join(),69.0,"The join() method takes all items in an iterable and joins them into one string.

A string must be specified as the separator.
","myTuple = (""John"", ""Peter"", ""Vicky"")

x = ""#"".join(myTuple)

print(x) ",string.join(iterable) ,John#Peter#Vicky ,iterable,Required. Any iterable object where all the returned values are strings
lower(),70.0,"The lower() method returns a string where all characters are lower case.

 Symbols and Numbers are ignored.","txt = ""Hello my FRIENDS""

x = txt.lower()

print(x) ",string.lower() ,hello my friends ,,
lstrip(),71.0,The lstrip() method removes any leading characters (space is the default leading character to remove),"txt = ""     banana     ""

x = txt.lstrip()

print(""of all fruits"", x, ""is my favorite"") ",string.lstrip(characters) ,of all fruits banana     is my favorite ,characters,  Optional. A set of characters to remove as leading characters
replace(),72.0,The replace() method replaces a specified phrase with another specified phrase.,"txt = ""I like bananas""

x = txt.replace(""bananas"", ""apples"")

print(x) ","string.replace(oldvalue, newvalue, count) ",I like apples ,oldvalue/newvalue/count,  Required. The string to search for/Required. The string to replace the old value with/  Optional. A number specifying how many occurrences of the old value you want to replace. Default is all occurrences
rindex(),73.0,"The rindex() method finds the last occurrence of the specified value.

The rindex() method raises an exception if the value is not found.","txt = ""Mi casa, su casa.""

x = txt.rindex(""casa"")

print(x) ","string.rindex(value, start, end) ",12,value/start/end,Required. The value to search for/Optional. Where to start the search. Default is 0/Optional. Where to end the search. Default is to the end of the string
rpartition(),74.0,"The rpartition() method searches for the last occurrence of a specified string, and splits the string into a tuple containing three elements.

The first element contains the part before the specified string.

The second element contains the specified string.

The third element contains the part after the string.","txt = ""I could eat bananas all day, bananas are my favorite fruit""

x = txt.rpartition(""bananas"")

print(x) ",string.rpartition(value) ,"('I could eat bananas all day, ', 'bananas', ' are my favorite fruit')",value,Required. The string to search for
rsplit(),75.0,"The rsplit() method splits a string into a list, starting from the right.

If no ""max"" is specified, this method will return the same as the split() method.","txt = ""apple, banana, cherry""

x = txt.rsplit("", "")

print(x) ","string.rsplit(separator, maxsplit) ","['apple', 'banana', 'cherry']",separator/maxsplit,"Optional. Specifies the separator to use when splitting the string. By default any whitespace is a separator/Optional. Specifies how many splits to do. Default value is -1, which is ""all occurrences"""
split(),76.0,"The split() method splits a string into a list.

You can specify the separator, default separator is any whitespace.","txt = ""welcome to the jungle""

x = txt.split()

print(x) ","string.split(separator, maxsplit) ","['welcome', 'to', 'the', 'jungle'] ",separator,Optional. Specifies the separator to use when splitting the string. By default any whitespace is a separator
strip(),77.0,The strip() method removes any leading  and trailing characters,"txt = ""     banana     ""

x = txt.strip()

print(""of all fruits"", x, ""is my favorite"") ",string.strip(characters),of all fruits banana is my favorite ,characters,  Optional. A set of characters to remove as leading/trailing characters
swapcase(),78.0,The swapcase() method returns a string where all the upper case letters are lower case and vice versa.,"txt = ""Hello My Name Is PETER""

x = txt.swapcase()

print(x) ",string.swapcase() ,hELLO mY nAME iS peter ,,
title(),79.0,"The title() method returns a string where the first character in every word is upper case. Like a header, or a title.

If the word contains a number or a symbol, the first letter after that will be converted to upper case.","txt = ""Welcome to my world""

x = txt.title()

print(x) ",string.title() ,Welcome To My World ,,
upper,80.0,"The upper() method returns a string where all characters are in upper case.

 Symbols and Numbers are ignored.","txt = ""Hello my friends""

x = txt.upper()

print(x) ",string.upper() ,HELLO MY FRIENDS ,,
zfill(),81.0,"The zfill() method adds zeros (0) at the beginning of the string, until it reaches the specified length.

If the value of the len parameter is less than the length of the string, no filling is done.
","txt = ""50""

x = txt.zfill(10)

print(x) ","
string.zfill(len)
",50,len,Required. A number specifying the position of the element you want to remove
split(),82.0,,,,,maxsplit,"Optional. Specifies how many splits to do. Default value is -1, which is ""all occurrences"""
sum(),83.0,"The sum() function returns a number, the sum of all items in an iterable.","a = (1, 2, 3, 4, 5)
x = sum(a)","sum(iterable, start) ",15,iterable/start,Required. The sequence to sum/Optional. A value that is added to the return value
tuple(),84.0,The tuple() function creates a tuple object.,"x = tuple(('apple', 'banana', 'cherry')) ",tuple(iterable) iterable,"('banana', 'cherry', 'apple') ",,"Required. A sequence, collection or an iterator object"
type(),85.0,The type() function returns the type of the specified object,"a = ('apple', 'banana', 'cherry')
b = ""Hello World""
c = 33

x = type(a)
y = type(b)
z = type(c) ","type(object, bases, dict) ","<class 'tuple'>
<class 'str'>
<class 'int'> ",object/bases/dict,"Required. If only one parameter is specified, the type() function returns the type of this object/Optional. Specifies the base classes/  Optional. Specifies the namespace with the definition for the class"
vars(),86.0,"The vars() function returns the __dic__ attribute of an object.

The __dict__ attribute is a dictionary containing the object's changeable attributes.","class Person:
  name = ""John""
  age = 36
  country = ""norway""

x = vars(Person) ",vars(object),"{'__module__': '__main__', 'name': 'John', 'age': 36, 'country': 'Norway', '__dict__': <attribute '__dict__' of 'Person' objects>, '__weakref__': <attribute '__weakref__' of 'Person' objects>, '__doc__': None} ",object,Any object with a __dict__attribute
zip(),87.0,"The zip() function returns a zip object, which is an iterator of tuples where the first item in each passed iterator is paired together, and then the second item in each passed iterator are paired together etc.

If the passed iterators have different lengths, the iterator with the least items decides the length of the new iterator.","a = (""John"", ""Charles"", ""Mike"")
b = (""Jenny"", ""Christy"", ""Monica"")

x = zip(a, b) ","zip(iterator1, iterator2, iterator3 ...) ","(('John', 'Jenny'), ('Charles', 'Christy'), ('Mike', 'Monica')) ","iterator1, iterator2, iterator3 ",Iterator objects that will be joined together
