name,desp,example_input,Syntax,Parameters,example_output,param_description,module
Buffer.allocUnsafe(),"The Buffer.allocUnsafe() method creates a new buffer object of the specified size.

This method differs from the Buffer.alloc() method because it creates a not-pre-filled buffer, and it may contain information from older buffers. That is why it is called unsafe.

To prevent this buffer from containing old data, you can use the Buffer.fill() method to pre-fill the buffer.","var buf = Buffer.allocUnsafe(15);
console.log(buf); ",Â Buffer.allocUnsafe(size);,size,"C:\Users\My Name>node demo_met_buffer_allocunsafe.js
<Buffer 02 00 00 00 a7 01 00 00 10 53 49 90 02 a7 01> ",Required. Specifies the size of the buffer,buffer
Buffer.byteLength(),"The Buffer.byteLength() method returns the length of a specified string object, in bytes.","var buf = Buffer.alloc(15);
var len = Buffer.byteLength(buf);
console.log(len);","Buffer.byteLength(string, encoding);",string*encoding,"C:\Users\My Name>node demo_met_buffer_bytelength.js
15 ","Required. Specifies the object to calculate the length of. Supported types are:
String
Buffer
TypedArray
DataView
ArrayBuffer*Optional. If the object is a string, this parameter specified its encoding. Default encoding is ""utf8""",buffer
Buffer.compare(),"The compare() method compares two buffer objects and returns a number defining their differences:

0 if they are equal
1 if buf1 is higher than buf2
-1 if buf1 is lower than buf2

This method can be used to sort arrays containing buffers.
","var buf1 = Buffer.from('abc');
var buf2 = Buffer.from('abc');
var x = Buffer.compare(buf1, buf2);
console.log(x);

var buf1 = Buffer.from('a');
var buf2 = Buffer.from('b');
var x = Buffer.compare(buf1, buf2);
console.log(x);

var buf1 = Buffer.from('b');
var buf2 = Buffer.from('a');
var x = Buffer.compare(buf1, buf2);
console.log(x);","Buffer.compare(buf1, buf2);",buf1*buf2,"C:\Users\My Name>node demo_met_buffer_compare.js

0
-1
1",Required. A Buffer*Require.Buffer,buffer
Buffer.concat(),The concat() method joins all buffer objects in an array into one buffer object.,"var buf1 = Buffer.from('a');
var buf2 = Buffer.from('b');
var buf3 = Buffer.from('c');
var arr = [buf1, buf2, buf3];

var buf = Buffer.concat(arr);
console.log(buf);"," Buffer.concat(arr, length);",arr*length,"C:\Users\My Name>node demo_met_buffer_concat.js
<Buffer 61>, <Buffer 62>, <Buffer 63> ",Required. The array of buffers to concat*Optional. Specifies the length of the concatenated buffer,buffer
buffer.copy(),The copy() method copies data from one buffer object into another buffer object.,"var buf1 = Buffer.from('abcdefghijkl');
var buf2 = Buffer.from('HELLO');

buf2.copy(buf1, 2);

console.log(buf1.toString());","buffer.copy(target, targetStart, sourceStart, sourceEnd);",target*targetStart*sourceStart*sourceEnd,"C:\Users\My Name>node demo_met_buffer_copy.js
abHELLOhijkl ",  Required. The array of buffers to concat*Optional. A number specifying where to begin copying to. Default 0*  Optional. A number specifying where to begin copying from. Default 0*Optional. A number specifying where to stop copying from. Default end of buffer,buffer
buffer.entries(),"The entries() method returns an iterator object, containing the index and byte value of each byte in a buffer object.","var buf = Buffer.from('abc');

for (x of buf.entries()) {
  console.log(x);
} ",buffer.entries();,,"C:\Users\My Name>node demo_met_buffer_entries.js
[ 0, 97 ]
[ 1, 98 ]
[ 2, 99 ] ",,buffer
buffer.equals(),"The equals() method compares two buffer objects and returns true if they are equal, otherwise false.","var buf1 = Buffer.from('abc');
var buf2 = Buffer.from('abc');

console.log(buf1.equals(buf2)); ",buffer.equals(buf);,buf,"C:\Users\My Name>node demo_met_buffer_equals.js
true ",Required. A buffer to compare with,buffer
buffer.fill(),"The fill() method fills a buffer with the specified value.

You can fill the whole buffer or parts of the buffer, using the start and end parameters.","var buf = Buffer.alloc(15);

buf.fill('a');

console.log(buf); ","buffer.fill(value, start, end, encoding);",value*start*end*encoding,"C:\Users\My Name>node demo_met_buffer_fill.js
<Buffer 61 61 61 61 61 61 61 61 61 61 61 61 61 61 61> ","  Required. A buffer to compare with*Optional. Where to start the filling. Default 0*Optional. Where to end the filling. Default at the end of the buffer*Optional. The encoding of the value. Default ""utf8""",buffer
buffer.includes(),"The includes() method checks if a specified value is included in the buffer.

Returns true if the values is included, otherwise false.","var buf = Buffer.from('Hello, and welcome to Rome!');

console.log(buf.includes('welcome')); ","buffer.includes(value, start, encoding);",value*start*encoding,"C:\Users\My Name>node demo_met_buffer_includes.js

true","Required. What to search for. Legal value types:
String
Buffer
Number (Integer)*Optional. Where to begin the search. Default 0*Optional. If the value is a string, this parameter is used to specify its encoding. Default ""utf8""",buffer
buffer.indexOf(),"The indexOf() method checks if a specified value is present in the buffer and returns the position.

This method returns -1 if the value to search for never occurs.

If the specified value occurs more than once, only the position of the first occurrence will be returned.

See also: the lastIndexOf() method, which returns the last occurrence of the specified value.","var buf = Buffer.from('Hello, and welcome to Rome!');

console.log(buf.indexOf('welcome')); ","buffer.indexOf(value, start, encoding); ","value,start,encoding","C:\Users\My Name>node demo_met_buffer_indexof.js
11 ","Required. What to search for. Legal value types:
String
Buffer
Number (Integer)*Optional. Where to begin the search. Default 0*Optional. If the value is a string, this parameter is used to specify its encoding. Default ""utf8""",buffer
Buffer.isBuffer(),"The Buffer.isBuffer() method returns true if the specified object is a Buffer, otherwise false.","var x = Buffer.from('abc');

console.log(Buffer.isBuffer(x)); ",Buffer.isBuffer(obj); ,obj,"C:\Users\My Name>node demo_met_buffer_isbuffer.js
true ",Required. The object to check if is a Buffer,buffer
buffer.keys(),"The keys() method returns an iterator object, containing the key of each byte in a buffer object.","var buf = Buffer.from('abc');

for (x of buf.keys()) {
  console.log(x);
} ",buffer.keys(); ,,"C:\Users\My Name>node demo_met_buffer_keys.js

0
1
2",,buffer
buffer.length,"The length property returns the size of a buffer, in bytes.","var buf = Buffer.from('abc');

console.log(buf.length); ",buffer.length; ,,"C:\Users\My Name>node demo_met_buffer_length.js

3 ",,buffer
buffer.slice(),"The slice() method returns a new buffer object, using parts of an existing buffer.

The start and end parameters specifies where to start and end the extraction. ","var x = Buffer.from('abcdef');
var y = x.slice(2,5);

console.log(y.toString()); ","buffer.slice(start, end); ",start*end,"C:\Users\My Name>node demo_met_buffer_slice.js

cde","Optional. Where to start slicing. Default 0*Optional. Where to end the slice, default at the very end of the buffer",buffer
buffer.toString(),The toString() method returns the buffer object according to the specified encoding.,"var buf = Buffer.from('abc');

console.log(buf.toString()); ","buffer.toString(encoding, start, end); ",encoding*start*end,"C:\Users\My Name>node demo_met_buffer_tostring.js

abc
<Buffer 61 62 63>",Optional. The encoding to use in the return value. Default 'utf8'*Optional. Where to start. Default 0*  Optional. Where to end. Default at the very end of the buffer,buffer
buffer.toJSON(),The toJSON() method returns a JSON object based on the Buffer object.,"var buf = Buffer.from('abc');

console.log(buf.toJSON()); ",buffer.toJSON(); ,,"C:\Users\My Name>node demo_met_buffer_tojson.js

{ type: 'Buffer', data: [ 97, 98, 99 ] }",,buffer
buffer.values(),"The values() method returns an iterator object, containing the value of each byte in a buffer object.","var buf = Buffer.from('abcdef');

for (x of buf.values()) {
console.log(x);
} ",buffer.values(); ,,"C:\Users\My Name>node demo_met_buffer_values.js

97
98
99
100
101
102",,buffer
buffer.toString(),"The write() method writes the specified string into a buffer, at the specified position.","var buf = Buffer.from('abcdef');

buf.write('qq', 2);

console.log(buf.toString()); ","buffer.write(value, start, bytes, encoding); ",value*start*bytes*encoding,"C:\Users\My Name>node demo_met_buffer_write.js

abqqef",Required. The string to insert*Optional. Where to start writing. Default 0*Optional. How many bytes to write. Default length of buffer minus start position*Optional. The encoding of the value. Default 'utf8',buffer
DNS,The DNS module provides a way of performing name resolutions.,"var dns = require('dns');
var w3 = dns.lookup('w3schools.com', function (err, addresses, family) {
  console.log(addresses);
}); ",var dns = require('dns');,,"C:\Users\My Name>node demo_dns.js
192.229.133.221 ",,DNS
dgram,"The dgram module provides a way of working with Datagram sockets.

It can be used to send messages from one computer/server to another.","var dgram = require('dgram');
var s = dgram.createSocket('udp4');
s.send(Buffer.from('abc'), 8080, 'localhost'); ","var dgram = require('dgram');
dgram.createSocket()",,C:\Users\Your Name>node demo_dgram_send.js ,,dgram
events,"The Events module provides a way of working with events.

In Node.js, all events are an instance of the EventEmitter object","var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.addListener(),Adds the specified listener,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.defaultMaxListeners,Sets the maximum number of listeners allowed for one event. Default is 10,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.emit(),Call all the listeners registered with the specified name,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.eventNames(),Returns an array containing all registered events,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.getMaxListeners(),Returns the maximum number of listeners allowed for one event,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.listenerCount(),Returns the number of listeners with the specified name,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.listeners(),Returns an array of listeners with the specified name,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.on(),Adds the specified listener,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.once(),"Adds the specified listener once. When the specified listener has been executed, the listener is removed","var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.prependListener(),Adds the specified listener as the first event with the specified name,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.prependOnceListener(),"Adds the specified listener as the first event with the specified name, once. When the specified listener has been executed, the listener is removed","var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.removeAllListeners(),"Removes all listeners with the specified name, or ALL listeners if no name is specified","var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.removeListener(),Removes the specified listener with the specified name,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
events.setMaxListeners(),Sets the maximum number of listeners allowed for one event. Default is 10,"var events = require('events');
var eventEmitter = new events.EventEmitter();

eventEmitter.on('scream', function() {
console.log('A scream is detected!');
});
eventEmitter.emit('scream'); ","var events = require('events');
var eventEmitter = new events.EventEmitter();",,"C:\Users\My Name>node demo_events.js
A scream is detected! ",,events
fs,The File System module provides a way of working with the computer's file system.,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.access(),Checks if a user has access to this file or directory,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.accessSync(),"Same as access(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.appendFile(),Appends data to a file,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.appendFileSync(),"Same as appendFile(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.chmod(),Changes the mode of a file,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.chmodSync(),"Same as chmod(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.chown(),Changes the owner of a file,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.chownSync(),"Same as chown(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.close(),Closes a file,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.closeSync(),"Same as close(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.constants,Returns an object containing constant values for the file system,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.createReadStream(),Returns a new stream object,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.createWriteStream(),Returns a new writeable stream object,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.exists(),Deprecated. Checks if a file or folder exists,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.existsSync(),"Same as exists(), but synchronous instead of asynchronous. This method is NOT deprecated","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.fchmod(),Changes the mode of a file,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.fchmodSync(),"Same as fchmod(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.fchown(),Changes the owner of a file,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.fchownSync(),"Same as fchown(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.fdatasync(),Syncronizes a file with the one stored on the computer,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.fdatasyncSync(),"Same as fdatasync(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.fstat(),Returns the status of a file,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.fstatSync(),"Same as fstat(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.fsync(),Syncronizes a file with the one stored on the computer,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.fsyncSync(),"Same as fsync(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.ftruncated(),Truncates a file,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.ftruncatedSync(),"Same as ftruncated(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.futimes(),Change the timestamp of a file,"var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.futimesSync(),"Same as futimes(), but synchronous instead of asynchronous","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
fs.lchmod(),"Changes the mode of a file, for Mac OS X","var fs = require('fs');

fs.readFile('demofile.txt', 'utf8', function(err, data) {
  if (err) throw err;
  console.log(data);
});",var fs = require('fs');,,"C:\Users\My Name>node demo_fs.js
Hello! Welcome to demofile.txt ",,fs
