name,desp,example,synx,parameter,output,module
logb(),"The logb() function in C++ returns the logarithm of |x|, using FLT_RADIX as base for the logarithm.","#include <iostream>
#include <cmath>

using namespace std;

int main ()
{
	double x = 121.056, result;

	result = logb(x);
	cout << ""logb("" << x << "") = "" << ""log(|"" << x << ""|) = ""<< result << endl;

	return 0;
}","double logb (double x);
float logb (float x);
long double logb (long double x);
double logb (T x); // For integral type",The ilogb() function takes a single argument whose logb is computed.,logb(121.056) = log(|121.056|) = 6,Cmath
log1p(),The log1p() function in C++ takes an argument x and returns the natural logarithm (base-e logarithm) of x+1.,"#include <iostream>
#include <cmath>

using namespace std;

int main ()
{
	double x = 21.371, result;

	result = log1p(x);
	cout << ""log1p(x) = "" << result << endl;

	return 0;
}","double log1p (double x);
float log1p (float x);
long double log1p (long double x);
double log1p (T x); // For integral type","The log1p() function takes a single mandatory argument in the range [-1, ∞].If the value is less than -1, log1p() returns Nan (Not a Number).",log1p(x) = 3.10777,Cmath
scalbln(),"The scalbln() function in C++ takes two arguments: x and n, and scales x by FLT_RADIX raised to the power n.","#include <iostream>
#include <cmath>
#include <cfloat>
using namespace std;

int main ()
{
	long int n = 133;
	double x = 3.056, result;
	result = scalbln (x, n);
	cout << x << "" * "" << FLT_RADIX << ""^"" << n << "" = "" << result << endl;
	
	return 0;
}","double scalbln (double x, long int n);
float scalbln (float x, long int n);
long double scalbln (long double x, long int n);
double scalbln (T x, long int n); // Here, T is an integral type","The scalbln() takes two arguments:x - The value representing the significand.
n - The value of exponent of FLT_RADIX.",3.056 * 2^133 = 3.32769e+40,Cmath
log2(),The log2() function in C++ returns the base-2 logarithm of the argument.,"#include <iostream>
#include <cmath>

using namespace std;

int main ()
{
	double x = 13.056, result;

	result = log2(x);
	cout << ""log2(x) = "" << result << endl;

	x = -3.591;
	result = log2(x);
	cout << ""log2(x) = "" << result << endl;
	
	return 0;
}","double log2(double x);
float log2(float x);
long double log2(long double x);
double log2(T x); // For integral type","The log2() function takes a single mandatory argument in the range [0, ∞].
	If the value is less than zero, log2() returns NaN (Not a Number).","log2(x) = 3.70664
log2(x) = nan",Cmath
scalbn(),"The scalbn() function in C++ takes two arguments: x and n, and scales x by FLT_RADIX raised to the power n.","#include <iostream>
#include <cmath>
#include <cfloat>
using namespace std;

int main ()
{
	int n = 13;
	double x = 3.056, result;
	
	result = scalbn (x, n);
	cout << x << "" * "" << FLT_RADIX << ""^"" << n << "" = "" << result << endl;
	
	return 0;
}","double scalbn (double x, int n);
float scalbn (float x, int n);
long double scalbn (long double x, int n);
double scalbn (T x, int n); // Here, T is an integral type","The scalbn() takes two arguments:x - The value representing the significand.
n - The value of exponent of FLT_RADIX.",3.056 * 2^13 = 25034.8,Cmath
ilogb(),"The ilogb() function in C++ returns the integral part of the logarithm of |x|, using FLT_RADIX as base for the logarithm.","#include <iostream>
#include <cmath>
#include <cfloat>

using namespace std;

int main()
{
	int result;
	double significand;
	double x = 16.81;

	result = ilogb(x);
	significand = x / pow(FLT_RADIX, result);

	cout << ""ilogb ("" << x << "") = "" << result << endl;
	cout << x << "" = "" << significand << "" * "" << FLT_RADIX << ""^"" << result << endl << endl;

	return 0;
}","int ilogb (double x);
int ilogb (float x);
int ilogb (long double x);
int ilogb (T x); // For integral type",The ilogb() function takes a single argument whose ilogb is computed.,"ilogb (16.81) = 4
16.81 = 1.05062 * 2^4",Cmath
nearbyint(),The nearbyint() function in C++ rounds the argument to an integral value using the current rounding mode.,"#include <iostream>
#include <cmath>
#include <cfenv>
using namespace std;

int main()
{
    // by default, rounding direction is to-nearest i.e. fesetround(FE_TONEAREST)
    double x = 11.87, result;
    result = nearbyint(x);
    cout << ""Rounding to-nearest ("" << x << "") = "" << result << endl;
    
    // upper value is taken for mid-way values
    x = 11.5;
    result = nearbyint(x);
    cout << ""Rounding to-nearest ("" << x << "") = "" << result << endl;

    // setting rounding direction to DOWNWARD
    fesetround(FE_DOWNWARD);
    x = 17.87;
    result = nearbyint(x);
    cout << ""Rounding downward ("" << x << "") = "" << nearbyint(x) << endl;
    
    // setting rounding direction to UPWARD
    x = 33.34;
    fesetround(FE_UPWARD);
    result = nearbyint(x);
    cout << ""Rounding upward ("" << x << "") = "" << result << endl;
    
    return 0;
}","double nearbyint(double x);
float nearbyint(float x);
long double nearbyint(long double x);
double nearbyint(T x); // For integral type",The nearbyint() function takes a single argument value to round.,Rounding to-nearest (11.87) = 12 Rounding to-nearest (11.5) = 12 Rounding downward (17.87) = 17 Rounding upward (33.3401) = 34,Cmath
expm1(),The expm1() function in C++ returns the exponential (Euler's number) e raised to the given argument minus 1.,"#include <iostream>
#include <cmath>

using namespace std;

int main()
{
	double x = 2.19, result;
	result = expm1(x);
	
	cout << ""e^"" << x << "" - 1 = "" << result << endl;
	
	return 0;
}","double expm1(double x);
float expm1(float x);
long double expm1(long double x); 
double expm1(T x); // Here T is an integral type.","The expm1() function takes a single mandatory argument (can be positive, negative or 0).",e^2.19 - 1 = 7.93521,Cmath
ldexp(),The ldexp() function in C++ takes two arguments: x and exp and returns the product of x and 2 raised to the power of exp i.e. x * 2exp.,"#include <iostream>
#include <cmath>

using namespace std;

int main ()
{
	double x = 13.056, result;
	int exp = 2;
	result = ldexp(x , exp);
	cout << ""ldexp(x, exp) = "" << result << endl;

	return 0;
}","double ldexp (double x, int exp);
float ldexp (float x, int exp);
long double ldexp (long double x, int exp);
double ldexp (T x, int exp); // For integral type","x - The floating point value representing the significand.
exp - The value of exponent.","ldexp(x, exp) = 52.224",Cmath
frexp(),The frexp() function in C++ breaks a floating point number into its binary significand.,"#include <iostream>
#include <cmath>

using namespace std;

int main ()
{
	double x = 6.81, significand;
	int *exp;
	significand = frexp(x , exp);
	cout << x << "" = "" << significand << "" * 2^"" << *exp << endl;

	return 0;
}","double frexp (double x, int* exp);
float frexp (float x, int* exp);
long double frexp (long double x, int* exp);
double frexp (T x, int* exp); // For integral type","x - The value to be decomposed.
exp - The pointer to an integer where the value of exponent is to be stored.",6.81 = 0.85125 * 2^3,Cmath
exp2(),"The exp2() function in C++ returns the base-2 exponential function, i.e. 2 raised to the given argument.","#include <iostream>
#include <cmath>

using namespace std;

int main()
{
	double x = -6.19, result;
	
	result = exp2(x);
	cout << ""exp2(x) = "" << result << endl;

	return 0;
}","double exp2(double x);
float exp2(float x);
long double exp2(long double x);
double exp2(T x); // For integral type","The exp2() function takes a single mandatory argument (can be positive, negative or 0).",exp2(x) = 0.013697,Cmath
exp(),The exp() function in C++ returns the exponential (Euler's number) e raised to the given argument.,"#include <iostream>
#include <cmath>

using namespace std;

int main()
{
	double x = 2.19, result;
	
	result = exp(x);
	cout << ""exp(x) = "" << result << endl;

	return 0;
}","double exp(double x);
float exp(float x);
long double exp(long double x);
double exp(T x); // For integral type","The exp() function takes a single mandatory argument and can be any value i.e. negative, positive or zero.",exp(x) = 8.93521,Cmath
modf(),The modf() function in C++ breaks a number into integral and fractional part.,"#include <iostream>
#include <cmath>
using namespace std;

int main ()
{
	double x = 14.86, intPart, fractPart;
	
	fractPart = modf(x, &intPart);
	cout << x << "" = "" << intPart << "" + "" << fractPart << endl;
	
	x = -31.201;
	fractPart = modf(x, &intPart);
	cout << x << "" = "" << intPart << "" + "" << fractPart << endl;

	return 0;
}","double modf (double x, double* intpart);
float modf (float x, float* intpart);
long double modf (long double x, long double* intpart);
double modf (T x, double* intpart);  // T is an integral type","The modf() takes two parameters:x - Value to be broken into two parts.
intpart - Pointer to an object (of the same type as x) where the integral part is stored with the same sign as x.","14.86 = 14 + 0.86
-31.201 = -31 + -0.201",Cmath
log10(),The log10() function in C++ returns the common logarithm (base 10 logarithm) of the argument.,"#include <iostream>
#include <cmath>
using namespace std;

int main ()
{
	double x = 13.056, result;
	result = log10(x);
	cout << ""log10(x) = "" << result << endl;
	
	x = -3.591;
	result = log10(x);
	cout << ""log10(x) = "" << result << endl;
	
	return 0;
}","double log10 (double x);
float log10 (float x);
long double log10 (long double x);
double log10 (T x);  // For integral type","The log10() function takes a single mandatory argument in the range [0, ∞].If the value is less than 0, log10() returns NaN (Not a Number).","log10(x) = 1.11581
log10(x) = nan",Cmath
lrint(),The lrint() function in C++ rounds the argument to an integral value using the current rounding mode.,"#include <iostream>
#include <cmath>
#include <cfenv>
using namespace std;

int main()
{
    // by default, rounding direction is to-nearest i.e. fesetround(FE_TONEAREST)
    double x = 11.87;
    long int result;
    result = lrint(x);
    cout << ""Rounding to-nearest ("" << x << "") = "" << result << endl;
    
    // mid-way values are rounded off to higher integer
    x = 11.5;
    result = lrint(x);
    cout << ""Rounding to-nearest ("" << x << "") = "" << result << endl;

    // setting rounding direction to DOWNWARD
    fesetround(FE_DOWNWARD);
    x = 11.87;
    result = lrint(x);
    cout << ""Rounding downward ("" << x << "") = "" << result << endl;
    
    // setting rounding direction to UPWARD
    fesetround(FE_UPWARD);
    x = 33.32;
    result = lrint(x);
    cout << ""Rounding upward ("" << x << "") = "" << result << endl;
    
    return 0;
}","long int lrint(double x);
long int lrint(float x);
long int lrint(long double x);
long int lrint(T x); // For integral type",The lrint() function takes a single argument value to round.,"Rounding to-nearest (11.87) = 12
Rounding to-nearest (11.5) = 12
Rounding downward (11.8699) = 11
Rounding upward (33.3201) = 34",Cmath
rint(),The rint() function in C++ rounds the argument to an integral value using the current rounding mode.,"#include <iostream>
#include <cmath>
#include <cfenv>
using namespace std;

int main()
{
    // by default, rounding direction is to-nearest i.e. fesetround(FE_TONEAREST)
    double x = 11.87, result;
    result = rint(x);
    cout << ""Rounding to-nearest ("" << x << "") = "" << result << endl;
    
    // upper value is taken for mid-way values
    x = 11.5;
    result = rint(x);
    cout << ""Rounding to-nearest ("" << x << "") = "" << result << endl;

    // setting rounding direction to DOWNWARD
    fesetround(FE_DOWNWARD);
    x = 11.87;
    result = rint(x);
    cout << ""Rounding downward ("" << x << "") = "" << result << endl;
    
    // setting rounding direction to UPWARD
    fesetround(FE_UPWARD);
    x = 33.32;
    result = rint(x);
    cout << ""Rounding upward ("" << x << "") = "" << result << endl;
    
    return 0;
}","double rint(double x);
float rint(float x);
long double rint(long double x);
double rint(T x); // For integral type",The rint() function takes a single argument value to round.,"Rounding to-nearest (11.87) = 12
Rounding to-nearest (11.5) = 12
Rounding downward (11.8699) = 11
Rounding upward (33.3201) = 34",Cmath
llround(),"The llround() function in C++ rounds the integer value that is nearest to the argument, with halfway cases rounded away from zero.","#include <iostream>
#include <cmath>

using namespace std;

int main()
{   
    long long int result;
    double x = 11.16;
    result = llround(x);
    cout << ""llround("" << x << "") = "" << result << endl;

    x = 13.87;
    result = llround(x);
    cout << ""llround("" << x << "") = "" << result << endl;
    
    x = 50.5;
    result = llround(x);
    cout << ""llround("" << x << "") = "" << result << endl;
    
    x = -11.16;
    result = llround(x);
    cout << ""llround("" << x << "") = "" << result << endl;

    x = -13.87;
    result = llround(x);
    cout << ""llround("" << x << "") = "" << result << endl;
    
    x = -50.5;
    result = llround(x);
    cout << ""llround("" << x << "") = "" << result << endl;
    
    return 0;
}","long long int llround(double x);
long long int llround(float x);
long long int llround(long double x);
long long int llround(T x); // For integral type",The llround() function takes a single argument value to round.,"llround(11.16) = 11
llround(13.87) = 14
llround(50.5) = 51
llround(-11.16) = -11
llround(-13.87) = -14
llround(-50.5) = -51",Cmath
lround(),"The lround() function in C++ rounds the integer value that is nearest to the argument, with halfway cases rounded away from zero. The value returned is of type long int.","#include <iostream>
#include <cmath>

using namespace std;

int main()
{   
    long int result;
    double x = 11.16;
    result = lround(x);
    cout << ""lround("" << x << "") = "" << result << endl;

    x = 13.87;
    result = lround(x);
    cout << ""lround("" << x << "") = "" << result << endl;
    
    x = 50.5;
    result = lround(x);
    cout << ""lround("" << x << "") = "" << result << endl;
    
    x = -11.16;
    result = lround(x);
    cout << ""lround("" << x << "") = "" << result << endl;

    x = -13.87;
    result = lround(x);
    cout << ""lround("" << x << "") = "" << result << endl;
    
    x = -50.5;
    result = lround(x);
    cout << ""lround("" << x << "") = "" << result << endl;
    
    return 0;
}","long int lround(double x);
long int lround(float x);
long int lround(long double x);
long int lround(T x); // For integral type",The lround() function takes a single argument value to round.,"lround(11.16) = 11
lround(13.87) = 14
lround(50.5) = 51
lround(-11.16) = -11
lround(-13.87) = -14
lround(-50.5) = -51",Cmath
round(),"The round() function in C++ returns the integral value that is nearest to the argument, with halfway cases rounded away from zero.","#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    double x = 11.16, result;
    result = round(x);
    cout << ""round("" << x << "") = "" << result << endl;

    x = 13.87;
    result = round(x);
    cout << ""round("" << x << "") = "" << result << endl;
    
    x = 50.5;
    result = round(x);
    cout << ""round("" << x << "") = "" << result << endl;
    
    x = -11.16;
    result = round(x);
    cout << ""round("" << x << "") = "" << result << endl;

    x = -13.87;
    result = round(x);
    cout << ""round("" << x << "") = "" << result << endl;
    
    x = -50.5;
    result = round(x);
    cout << ""round("" << x << "") = "" << result << endl;
    
    return 0;
}","double round(double x);
float round(float x);
long double round(long double x);
double round(T x); // For integral type",The round() function takes a single argument value to round.,"round(11.16) = 11
round(13.87) = 14
round(50.5) = 51
round(-11.16) = -11
round(-13.87) = -14
round(-50.5) = -51",Cmath
trunc(),The trunc() function in C++ rounds the argument towards zero and returns the nearest integral value that is not larger in magnitude than the argument.,"#include <iostream>
#include <cmath>
 
using namespace std;
 
int main()
{
    double x = 10.25, result;
    result = trunc(x);
    cout << ""trunc("" << x << "") = "" << result << endl;
 
    x = -34.251;
    result = trunc(x);
    cout << ""trunc("" << x << "") = "" << result << endl;
 
    return 0;
}","double trunc(double x);
float trunc(float x);
long double trunc(long double x);
double trunc(T x); // For integral types",The trunc() function takes a single argument whose trunc value is to be computed.,"trunc(10.25) = 10
trunc(-34.251) = -34",Cmath
log(),The log() function in C++ returns the natural logarithm (base-e logarithm) of the argument.,"#include <iostream>
#include <cmath>
using namespace std;

int main ()
{
	double x = 13.056, result;
	result = log (x);
	cout << ""log(x) = "" << result << endl;
	
	x = -3.591;
	result = log (x);
	cout << ""log(x) = "" << result << endl;
	
	return 0;
}","double log (double x);
float log (float x);
long double log (long double x);
double log (T x);  // For integral type","The log() function takes a single mandatory argument in the range [0, ∞].If the value is less than zero, log() returns NaN (Not a Number).","log(x) = 2.56925
log(x) = nan",Cmath
atanh(),The atanh() function in C++ returns the arc hyperbolic tangent (inverse hyperbolic tangent) of a number in radians.,"#include <iostream>
#include <cmath>

#define PI 3.141592654
using namespace std;

int main()
{
	double x = 0.32, result;

	result = atanh(x);
	cout << ""atanh(x) = "" << result << "" radian"" << endl;

	// result in degrees
	cout << ""atanh(x) = "" << result*180/PI << "" degree"" << endl;
	
	return 0;
}","double atanh(double x);
float atanh(float x);
long double atanh(long double x);
double atanh(T x); // For integral type","The atanh() function takes a single mandatory argument in the range [-1, 1].If the value is greater than 1 or less than -1, a domain error occurs.","atanh(x) = 0.331647 radian
atanh(x) = 19.002 degree",Cmath
asinh(),The asinh() function in C++ returns the arc hyperbolic sine (inverse hyperbolic sine) of a number in radians.,"#include <iostream>
#include <cmath>

#define PI 3.141592654
using namespace std;

int main()
{
	double x = -6.82, result;

	result = asinh(x);
	cout << ""asinh(x) = "" << result << "" radian"" << endl;

	// result in degrees
	cout << ""asinh(x) = "" << result*180/PI << "" degree"" << endl;

	return 0;
}","double asinh(double x);
float asinh(float x);
long double asinh(long double x);
double asinh(T x); // For integral type","The asinh() function takes a single mandatory argument whose inverse hyperbolic sine is to be computed.It can be any value i.e. negative, positive or zero.","asinh(x) = -2.61834 radian
asinh(x) = -150.02 degree",Cmath
acosh(),The acosh() function in C++ returns the arc hyperbolic cosine (inverse hyperbolic cosine) of a number in radians.,"#include <iostream>
#include <cmath>

#define PI 3.141592654
using namespace std;

int main()
{
	double x = 13.21, result;
	result = acosh(x);

	cout << ""acosh(x) = "" << result << "" radian"" << endl;

	// result in degrees
	cout << ""acosh(x) = "" << result*180/PI << "" degree"" << endl;

	return 0;
}","double acosh(double x);
float acosh(float x);
long double acosh(long double x);
double acosh(T x); // For integral type","The acosh() function takes a single mandatory argument which is greater or equal to 1.If the argument is less than 1, a domain error occurs.","acosh(x) = 3.27269 radian
acosh(x) = 187.511 degree",Cmath
fmod(),The fmod() function in C++ computes the floating point remainder of numerator/denominator (rounded towards zero),"#include <iostream>
#include <cmath>

using namespace std;

int main()
{
    double x = 7.5, y = 2.1;
    double result = fmod(x, y);
    cout << ""Remainder of "" << x << ""/"" << y << "" = "" << result << endl;
    
    x = -17.50, y = 2.0;
    result = fmod(x, y);
    cout << ""Remainder of "" << x << ""/"" << y << "" = "" << result << endl;
    
    return 0;
}","double fmod(double x, double y);
float fmod(float x, float y);
long double fmod(long double x, long double y);
double fmod(Type1 x, Type2 y); // Additional overloads for other combinations of arithmetic types","x: The value of numerator.
y: The value of denominator.","Remainder of 7.5/2.1 = 1.2
Remainder of -17.5/2 = -1.5",Cmath
